verbo;prep;se
abalanzar;a;S
abandonar;a;S
abandonar;en;S
abatir;al;S
abatir;con;S
abatir;en;S
abatir;por;S
abocar;con;S
abochornar;de;S
abochornar;por;S
abogar;por;N
abominar;de;N
abordar;a;N
abordar;con;N
aborrecer;de;N
abrasar;de;S
abrasar;en;S
abrigar;de;N
abrigar;con;S
abrigar;del;S
abrigar;en;S
abrir;a;N
abrir;de;N
abrir;en;N
abrir;a;S
abrir;con;S
abroquelar;con;S
abroquelar;de;S
absolver;del;N
abstener;de;S
abundar;de;N
abundar;en;N
aburrir;de;S
aburrir;con;S
aburrir;por;S
aburrir;en;S
abusar;de;N
acabar;con;N
acabar;de;N
acabar;en;N
acabar;por;N
acaecer;a;N
acalorar;con;S
acalorar;en;S
acalorar;por;S
acarrear;a;N
acarrear;en;N
acarrear;por;N
acceder;a;N
acendrar;con;S
acendrar;en;S
acercar;a;S
acertar;a;N
acertar;con;N
acertar;en;N
acoger;en;N
acoger;a;S
acoger;bajo;S
acomodar;a;S
acomodar;con;S
acomodar;de;S
acomodar;en;S
acompa침ar;a;N
acompa침ar;con;N
acompa침ar;de;N
acompa침ar;con;S
acompa침ar;de;S
aconsejar;con;S
aconsejar;de;S
acontecer;a;N
acontecer;con;N
acordar;con;S
acordar;de;S
acordar;con;N
acortar;de;N
acostumbrar;a;S
acreditar;con;S
acreditar;de;S
actuar;en;N
acudir;al;N
acudir;con;N
acusar;de;N
acusar;a;N
acusar;de;S
adaptar;al;N
adelantar;en;N
adelantar;a;S
adelantar;en;S
adiestrar;en;S
admirar;de;S
admitir;en;N
adolecer;de;N
adoptar;por;N
adorar;a;N
adorar;en;N
adornar;con;N
adornar;de;N
afanar;en;S
afanar;por;S
aferrar;a;S
aferrar;con;S
aferrar;en;S
afianzar;con;N
afianzar;de;N
afianzar;en;S
afianzar;sobre;S
aficionar;a;S
aficionar;de;S
afilar;en;N
afilar;con;N
afirmar;en;S
aflojar;en;N
aforrar;en;N
aforrar;con;N
aforrar;de;N
agarrar;de;N
agarrar;por;N
agarrar;a;S
agarrar;de;S
agobiar;con;S
agobiar;de;S
agobiar;por;S
agraciar;con;N
agraviar;de;S
agraviar;por;S
agregar;a;S
agregar;con;S
aguardar;a;N
aguardar;en;N
ahogar;de;S
ajustar;con;S
ajustar;a;S
ajustar;en;S
alargar;a;S
alargar;hasta;S
alcanzar;al;N
alcanzar;con;N
alcanzar;del;N
alcanzar;en;N
alcanzar;para;N
alegar;en;N
alegrar;de;S
alegrar;por;S
alegrar;con;S
alejar;de;S
alentar;con;N
alimentar;con;S
alimentar;de;S
alistar;en;S
alistar;por;S
alternar;con;N
alternar;en;N
alzar;al;N
alzar;del;N
alzar;por;N
alzar;a;S
alzar;con;S
alzar;en;S
amar;de;N
amarrar;a;N
anegar;en;N
amenazar;con;N
amenazar;de;N
andar;a;N
andar;con;N
andar;de;N
andar;en;N
andar;entre;N
andar;por;N
andar;sobre;N
andar;tras;N
andar;en;S
andar;por;S
anteponer;al;N
anticipar;a;S
a침adir;a;N
aparecer;a;S
aparecer;en;S
aparejar;al;S
aparejar;para;S
apartar;de;N
apartar;a;S
apechugar;con;N
apegar;a;S
apelar;a;N
apelar;de;N
apelar;para;N
apiadar;de;S
aplicar;a;S
apoderar;de;S
aportar;a;N
apostar;a;N
apostatar;de;N
apoyar;con;N
apoyar;en;N
apreciar;en;N
aprender;a;N
aprender;con;N
aprender;por;N
apresurar;a;S
apresurar;por;S
apretar;a;N
apretar;con;N
apretar;entre;N
aprobar;en;N
aprobar;al;N
apropiar;a;N
apropiar;para;N
aprovechar;en;N
aproximar;al;S
aquietar;con;S
arder;de;N
arder;en;N
armar;con;N
armar;de;N
armar;de;S
arrancar;al;N
arrancar;del;N
arrastrar;en;N
arrastrar;por;N
arrebatar;de;N
arrebatar;entre;N
arrebatar;de;S
arrebozar;con;S
arreglar;a;S
arreglar;con;S
arremeter;al;N
arremeter;con;N
arremeter;contra;N
arremeter;para;N
arrepentir;de;S
arrestar;a;S
arribar;a;N
arriesgar;a;S
arrimar;a;S
arrinconar;en;S
arrojar;de;N
arrojar;a;S
arrojar;de;S
arrojar;por;S
arrojar;en;S
arropar;con;S
asar;de;S
ascender;a;N
ascender;en;N
asegurar;contra;N
asegurar;de;N
asegurar;de;S
asesorar;con;S
asesorar;de;S
asimilar;a;N
asistir;a;N
asociar;con;S
asociar;a;S
asomar;a;S
asomar;por;S
asombrar;del;S
asombrar;con;S
aspirar;a;N
asustar;de;S
asustar;con;S
asustar;por;S
atar;a;N
atar;con;N
atar;de;N
atar;por;N
atarear;a;S
atarear;con;S
atarear;en;S
atar;a;S
atar;en;S
atascar;de;S
atascar;en;S
ataviar;con;S
ataviar;de;S
atemorizar;de;S
atemorizar;por;S
atender;a;N
atener;a;S
atentar;a;N
atentar;contra;N
atraer;a;N
atraer;con;N
atestiguar;con;N
atestiguar;de;N
atiborrar;de;S
atinar;al;N
atinar;con;N
atracar;de;S
atragantar;con;S
atrancar;en;S
atravesar;en;S
atrever;a;S
atrever;con;S
atribuir;a;N
atribular;con;S
atribular;en;S
atribular;por;S
atrincherar;con;S
atrincherar;en;S
atropellar;con;N
atropellar;por;N
atropellar;en;S
atufar;con;S
atufar;de;S
atufar;por;S
ausentar;de;S
autorizar;con;N
autorizar;para;N
avanzar;a;N
avanzar;hacia;N
avanzar;hasta;N
avecindar;en;S
avenir;a;S
avenir;con;S
aventajar;a;S
aventajar;en;S
avergonzar;de;S
avergonzar;a;S
avergonzar;por;S
averiguar;con;S
aviar;de;S
aviar;para;S
avocar;a;N
ayudar;a;N
ayudar;en;N
bailar;a;N
bailar;con;N
bailar;por;N
bajar;a;N
bajar;de;N
bajar;hacia;N
bajar;por;N
ba침ar;con;N
ba침ar;de;N
ba침ar;en;N
bastar;a;N
bastar;para;N
batallar;con;N
besar;en;N
blasfemar;contra;N
blasfemar;de;N
bordar;al;N
bordar;con;N
bordar;de;N
bordar;en;N
borrar;de;N
brear;a;N
brindar;con;N
brindar;por;N
brotar;de;N
brotar;en;N
bufar;de;N
bullir;en;N
bullir;por;N
burlar;a;N
burlar;de;S
buscar;al;N
buscar;por;N
caber;en;N
caber;de;N
caer;a;N
caer;hacia;N
caer;de;N
caer;en;N
caer;por;N
caer;sobre;N
caer;a;S
caer;de;S
calar;a;N
calar;de;S
calentar;a;S
calentar;con;S
calentar;en;S
calificar;de;N
calzar;con;S
callar;a;N
callar;de;N
callar;por;N
cambiar;con;N
cambiar;por;N
caminar;a;N
caminar;para;N
cansar;con;S
cansar;del;S
cansar;de;S
cantar;a;N
cantar;de;N
cantar;en;N
carecer;de;N
cargar;a;N
cargar;en;N
cargar;con;N
cargar;de;N
cargar;sobre;N
cargar;de;S
casar;con;N
casar;en;N
casar;con;S
casar;por;S
catequizar;para;N
cebar;con;N
ceder;a;N
ceder;de;N
ceder;en;N
cegar;de;S
censurar;a;N
censurar;en;N
ce침ir;con;N
ce침ir;de;N
ce침ir;a;S
cercionar;de;S
cerrar;con;N
cerrar;contra;N
cerrar;a;N
cerrar;de;S
cerrar;en;S
cesar;en;N
circunscribir;a;S
clamar;a;N
clamar;por;N
clamorear;a;N
clamorear;por;N
clavar;a;N
clavar;en;N
cobrar;de;N
cobrar;en;N
cocer;a;N
cocer;con;N
coexistir;con;N
coger;a;N
coger;con;N
coger;de;N
coger;por;N
coger;entre;N
colgar;en;N
colocar;por;S
colocar;en;S
colocar;entre;S
combatir;con;N
combatir;contra;N
combatir;por;N
combinar;con;N
comedir;en;S
comenzar;a;N
comenzar;por;N
comer;a;N
comer;de;N
comer;por;N
comerciar;con;N
comerciar;en;N
comerciar;por;N
compadecer;de;S
compadecer;con;S
comparar;con;N
compartir;con;N
compartir;en;N
compartir;entre;N
compensar;con;N
competir;con;N
complacer;a;N
complacer;en;S
complacer;con;S
componer;con;S
comprar;a;N
comprar;por;N
comprobar;con;N
comprometer;a;N
comprometer;en;N
comprometer;a;S
comprometer;con;S
comprometer;en;S
comulgar;con;N
comunicar;con;S
comunicar;entre;S
comunicar;por;S
concentrar;en;S
concertar;con;N
concertar;en;N
concertar;entre;N
conciliar;de;S
concluir;con;N
concluir;en;N
concluir;a;N
concordar;con;N
concurrir;a;N
concurrir;con;N
concurrir;en;N
condenar;a;N
condenar;con;N
condenar;en;N
condescender;a;N
condescender;con;N
condescender;en;N
condoler;de;S
conducir;al;N
conducir;en;N
conducir;por;N
confederar;con;S
conferir;con;S
conferir;entre;S
confesar;a;S
confesar;con;S
confiar;en;N
confinar;a;N
confinar;en;N
confinar;con;N
confirmar;en;N
confirmar;por;N
conformar;a;N
conformar;con;N
confrontar;con;N
confundir;con;S
confundir;en;S
congeniar;con;N
conjeturar;por;N
conmutar;con;N
conmutar;por;N
conmutar;en;N
conocer;a;N
conocer;en;N
conocer;por;N
consagrar;a;S
consentir;con;N
consentir;en;N
conservar;en;S
conservar;con;S
considerar;en;N
considerar;por;N
consistir;en;N
consolar;en;N
consolar;con;N
conspirar;a;N
conspirar;contra;N
conspirar;en;N
constar;en;N
constar;por;N
consultar;con;N
consultar;a;N
consultar;para;N
consumir;a;N
consumir;con;N
consumir;de;N
consumir;en;N
contagiar;con;N
contagiar;del;N
contagiar;por;N
contaminar;con;N
contaminar;en;N
contar;a;N
contar;con;N
contar;por;N
contemplar;en;N
contener;en;N
contentar;con;N
contestar;a;N
contestar;con;N
continuar;en;N
continuar;por;N
contraer;a;N
contraer;con;N
contrapesar;con;N
contraponer;a;N
contraponer;con;N
contravenir;a;N
contribuir;a;N
contribuir;para;N
contribuir;con;N
convalecer;con;N
convencer;con;N
convenir;a;N
convenir;con;N
convenir;en;N
conversar;con;N
conversar;en;N
conversar;sobre;N
convertir;a;N
convertir;en;N
convidar;a;N
convidar;con;N
convidar;para;N
convocar;a;N
cooperar;a;N
cooperar;con;N
copiar;a;N
coronar;con;N
coronar;en;N
coronar;por;N
correr;a;N
correr;con;N
correr;en;N
correr;por;N
corresponder;a;N
corresponder;con;N
cortar;por;N
coser;a;N
coser;para;N
crecer;en;N
creer;en;N
creer;sobre;N
criar;a;N
criar;con;N
criar;en;N
criar;para;N
cruzar;con;S
cruzar;por;N
cuadrar;a;N
cuadrar;con;N
cubrir;con;N
contar;con;N
culpar;a;N
culpar;por;N
cumplir;a;N
cumplir;con;N
curar;a;N
curar;con;N
curar;en;N
curtir;a;N
curtir;con;N
curtir;en;N
sumar;a;S
da人r;en;N
dar;a;N
dar;con;N
dar;contra;N
dar;de;N
dar;en;N
dar;por;N
dar;sobre;N
deber;a;N
deber;de;N
decaer;en;N
decidir;de;N
decidir;en;N
decidir;sobre;N
decidir;por;N
decir;a;N
decir;con;N
decir;de;N
decir;en;N
decir;para;N
declarar;en;N
declarar;sobre;N
declarar;con;N
declarar;por;N
declinar;hacia;N
declinar;a;N
declinar;de;N
declinar;en;N
dedicar;a;N
deducir;de;N
deducir;por;N
defender;con;N
defender;contra;N
defender;de;N
defender;por;N
defraudar;a;N
dejar;con;N
dejar;en;N
dejar;por;N
delatar;a;N
deleitar;con;N
deliberar;entre;N
deliberar;sobre;N
delirar;por;N
deponer;contra;N
deponer;en;N
derrocar;a;N
derrocar;por;N
derribar;a;N
derramar;a;N
derramar;por;N
desacreditar;con;N
desacreditar;para;N
desacreditar;en;N
desacreditar;entre;N
desahogar;en;N
desatar;en;N
descarar;con;N
descargar;con;N
descargar;sobre;N
descargar;contra;N
descender;por;N
descomponer;en;N
descubrir;a;N
descubrir;con;N
descubrir;por;N
descuidar;en;N
desenfrensar;en;N
desmentir;a;N
despertar;a;N
desposar;con;N
desposar;por;N
desterrar;a;N
desvergonzar;con;N
desvivir;por;N
detener;a;N
diferenciar;en;N
diferir;en;N
diferir;entre;N
dilatar;a;N
dilatar;para;N
dilatar;en;N
discordar;en;N
discordar;sobre;N
discrepar;en;N
disculpar;a;N
disculpar;con;N
discurrir;en;N
discurrir;sobre;N
disentir;en;N
disfrazar;con;N
disgustar;con;N
disimular;con;N
disolver;en;N
disponer;por;N
disponer;a;N
disponer;para;N
disputar;con;N
disputar;por;N
disputar;sobre;N
distinguir;entre;N
distraer;con;N
distraer;por;N
distraer;en;N
distribuir;en;N
distribuir;entre;N
divertir;con;N
dividir;con;N
dividir;entre;N
dividir;en;N
dividir;por;N
doler;con;N
dotar;con;N
dotar;en;N
dudar;en;N
dudar;entre;N
durar;por;N
seguir;a;N
recuperar;en;N
ir;en;N
navegar;en;N
saludar;a;N
pasear;a;N
cruzar;con;N
